lga_name,year,median_rent
Mornington Penin'a,1999,145.0
Port Phillip,1999,211.0
Stonnington,1999,210.0
Victoria,1999,160.0
Metro,1999,175.0
Non-Metro,1999,130.0
Victoria,1999,160.0
Colac-Otway,1999,115.0
Corangamite,1999,100.0
Glenelg,1999,100.0
Greater Geelong,1999,140.0
Moyne,1999,120.0
Queenscliffe,1999,158.0
Southern Grampians,1999,110.0
Surf Coast,1999,150.0
Warrnambool,1999,130.0
Ararat,1999,105.0
Ballarat,1999,135.0
Golden Plains,1999,128.0
Hepburn,1999,130.0
Hindmarsh,1999,100.0
Horsham,1999,120.0
Moorabool,1999,145.0
Northern Grampians,1999,110.0
Pyrenees,1999,113.0
West Wimmera,1999,90.0
Yarriambiack,1999,73.0
Buloke,1999,80.0
Campaspe,1999,130.0
Central Goldfields,1999,110.0
Gannawarra,1999,110.0
Greater Bendigo,1999,140.0
Loddon,1999,100.0
Macedon Ranges,1999,150.0
Mildura,1999,135.0
Mount Alexander,1999,125.0
Swan Hill,1999,125.0
Alpine,1999,120.0
Benalla,1999,123.0
Greater Shepparton,1999,140.0
Indigo,1999,130.0
Mansfield,1999,130.0
Mitchell,1999,130.0
Moira,1999,130.0
Murrindindi,1999,120.0
Strathbogie,1999,103.0
Towong,1999,125.0
Wangaratta,1999,125.0
Wodonga,1999,150.0
Bass Coast,1999,110.0
Baw Baw,1999,130.0
East Gippsland,1999,120.0
Latrobe,1999,110.0
South Gippsland,1999,110.0
Wellington,1999,110.0
Banyule,1999,180.0
Brimbank,1999,155.0
Darebin,1999,160.0
Hobsons Bay,1999,170.0
Hume,1999,170.0
Maribyrnong,1999,150.0
Melbourne,1999,270.0
Melton,1999,155.0
Merri-bek,1999,165.0
Moonee Valley,1999,180.0
Nillumbik,1999,200.0
Whittlesea,1999,170.0
Wyndham,1999,165.0
Yarra,1999,232.0
Boroondara,1999,220.0
Knox,1999,180.0
Manningham,1999,220.0
Maroondah,1999,165.0
Monash,1999,200.0
Whitehorse,1999,190.0
Yarra Ranges,1999,160.0
Bayside,1999,255.0
Cardinia,1999,155.0
Casey,1999,165.0
Frankston,1999,150.0
Glen Eira,1999,180.0
Greater Dandenong,1999,140.0
Kingston,1999,175.0
Mornington Penin'a,1999,150.0
Port Phillip,1999,220.0
Stonnington,1999,210.0
Victoria,1999,165.0
Metro,1999,180.0
Non-Metro,1999,130.0
Victoria,1999,165.0
Colac-Otway,2000,115.0
Corangamite,2000,100.0
Glenelg,2000,100.0
Greater Geelong,2000,140.0
Moyne,2000,120.0
Queenscliffe,2000,180.0
Southern Grampians,2000,115.0
Surf Coast,2000,158.0
Warrnambool,2000,130.0
Ararat,2000,100.0
Ballarat,2000,135.0
Golden Plains,2000,143.0
Hepburn,2000,135.0
Hindmarsh,2000,110.0
Horsham,2000,115.0
Moorabool,2000,145.0
Northern Grampians,2000,110.0
Pyrenees,2000,110.0
West Wimmera,2000,90.0
Yarriambiack,2000,80.0
Buloke,2000,85.0
Campaspe,2000,140.0
Central Goldfields,2000,115.0
Gannawarra,2000,110.0
Greater Bendigo,2000,135.0
Loddon,2000,100.0
Macedon Ranges,2000,145.0
Mildura,2000,140.0
Mount Alexander,2000,130.0
Swan Hill,2000,130.0
Alpine,2000,128.0
Benalla,2000,115.0
Greater Shepparton,2000,140.0
Indigo,2000,130.0
Mansfield,2000,135.0
Mitchell,2000,135.0
Moira,2000,120.0
Murrindindi,2000,120.0
Strathbogie,2000,110.0
Towong,2000,115.0
Wangaratta,2000,130.0
Wodonga,2000,145.0
Bass Coast,2000,120.0
Baw Baw,2000,125.0
East Gippsland,2000,120.0
Latrobe,2000,110.0
South Gippsland,2000,115.0
Wellington,2000,120.0
Banyule,2000,185.0
Brimbank,2000,155.0
Darebin,2000,165.0
Hobsons Bay,2000,175.0
Hume,2000,170.0
Maribyrnong,2000,155.0
Melbourne,2000,280.0
Melton,2000,150.0
Merri-bek,2000,170.0
Moonee Valley,2000,180.0
Nillumbik,2000,210.0
Whittlesea,2000,175.0
Wyndham,2000,160.0
Yarra,2000,250.0
Boroondara,2000,225.0
Knox,2000,180.0
Manningham,2000,225.0
Maroondah,2000,165.0
Monash,2000,200.0
Whitehorse,2000,195.0
Yarra Ranges,2000,160.0
Bayside,2000,268.0
Cardinia,2000,160.0
Casey,2000,170.0
Frankston,2000,150.0
Glen Eira,2000,185.0
Greater Dandenong,2000,140.0
Kingston,2000,170.0
Mornington Penin'a,2000,150.0
Port Phillip,2000,220.0
Stonnington,2000,220.0
Victoria,2000,165.0
Metro,2000,180.0
Non-Metro,2000,130.0
Victoria,2000,165.0
Colac-Otway,2000,120.0
Corangamite,2000,100.0
Glenelg,2000,110.0
Greater Geelong,2000,140.0
Moyne,2000,120.0
Queenscliffe,2000,155.0
Southern Grampians,2000,105.0
Surf Coast,2000,159.0
Warrnambool,2000,143.0
Ararat,2000,100.0
Ballarat,2000,135.0
Golden Plains,2000,130.0
Hepburn,2000,135.0
Hindmarsh,2000,95.0
Horsham,2000,125.0
Moorabool,2000,140.0
Northern Grampians,2000,110.0
Pyrenees,2000,113.0
West Wimmera,2000,90.0
Yarriambiack,2000,80.0
Buloke,2000,73.0
Campaspe,2000,140.0
Central Goldfields,2000,110.0
Gannawarra,2000,100.0
Greater Bendigo,2000,140.0
Loddon,2000,88.0
Macedon Ranges,2000,155.0
Mildura,2000,140.0
Mount Alexander,2000,130.0
Swan Hill,2000,140.0
Alpine,2000,135.0
Benalla,2000,130.0
Greater Shepparton,2000,145.0
Indigo,2000,130.0
Mansfield,2000,130.0
Mitchell,2000,135.0
Moira,2000,125.0
Murrindindi,2000,120.0
Strathbogie,2000,120.0
Towong,2000,96.0
Wangaratta,2000,130.0
Wodonga,2000,150.0
Bass Coast,2000,120.0
Baw Baw,2000,130.0
East Gippsland,2000,120.0
Latrobe,2000,110.0
South Gippsland,2000,115.0
Wellington,2000,115.0
Banyule,2000,190.0
Brimbank,2000,160.0
Darebin,2000,165.0
Hobsons Bay,2000,175.0
Hume,2000,170.0
Maribyrnong,2000,155.0
Melbourne,2000,280.0
Melton,2000,155.0
Merri-bek,2000,165.0
Moonee Valley,2000,180.0
Nillumbik,2000,215.0
Whittlesea,2000,170.0
Wyndham,2000,165.0
Yarra,2000,260.0
Boroondara,2000,220.0
Knox,2000,185.0
Manningham,2000,225.0
Maroondah,2000,170.0
Monash,2000,200.0
Whitehorse,2000,195.0
Yarra Ranges,2000,165.0
Bayside,2000,270.0
Cardinia,2000,160.0
Casey,2000,170.0
Frankston,2000,155.0
Glen Eira,2000,188.0
Greater Dandenong,2000,140.0
Kingston,2000,170.0
Mornington Penin'a,2000,150.0
Port Phillip,2000,220.0
Stonnington,2000,230.0
Victoria,2000,170.0
Metro,2000,180.0
Non-Metro,2000,130.0
Victoria,2000,170.0
Colac-Otway,2000,120.0
Corangamite,2000,100.0
Glenelg,2000,108.0
Greater Geelong,2000,145.0
Moyne,2000,140.0
Queenscliffe,2000,170.0
Southern Grampians,2000,100.0
Surf Coast,2000,168.0
Warrnambool,2000,135.0
Ararat,2000,98.0
Ballarat,2000,140.0
Golden Plains,2000,135.0
Hepburn,2000,140.0
Hindmarsh,2000,100.0
Horsham,2000,125.0
Moorabool,2000,145.0
Northern Grampians,2000,100.0
Pyrenees,2000,115.0
West Wimmera,2000,95.0
Yarriambiack,2000,75.0
Buloke,2000,100.0
Campaspe,2000,135.0
Central Goldfields,2000,110.0
Gannawarra,2000,110.0
Greater Bendigo,2000,140.0
Loddon,2000,98.0
Macedon Ranges,2000,158.0
Mildura,2000,145.0
Mount Alexander,2000,130.0
Swan Hill,2000,135.0
Alpine,2000,128.0
Benalla,2000,130.0
Greater Shepparton,2000,145.0
Indigo,2000,130.0
Mansfield,2000,143.0
Mitchell,2000,135.0
Moira,2000,125.0
Murrindindi,2000,120.0
Strathbogie,2000,105.0
Towong,2000,125.0
Wangaratta,2000,125.0
Wodonga,2000,150.0
Bass Coast,2000,120.0
Baw Baw,2000,130.0
East Gippsland,2000,125.0
Latrobe,2000,110.0
South Gippsland,2000,113.0
Wellington,2000,115.0
Banyule,2000,190.0
Brimbank,2000,165.0
Darebin,2000,170.0
Hobsons Bay,2000,180.0
Hume,2000,175.0
Maribyrnong,2000,160.0
Melbourne,2000,280.0
Melton,2000,160.0
Merri-bek,2000,170.0
Moonee Valley,2000,180.0
Nillumbik,2000,220.0
Whittlesea,2000,175.0
Wyndham,2000,165.0
Yarra,2000,250.0
Boroondara,2000,225.0
Knox,2000,185.0
Manningham,2000,225.0
Maroondah,2000,175.0
Monash,2000,200.0
Whitehorse,2000,200.0
Yarra Ranges,2000,165.0
Bayside,2000,275.0
Cardinia,2000,160.0
Casey,2000,170.0
Frankston,2000,155.0
Glen Eira,2000,190.0
Greater Dandenong,2000,140.0
Kingston,2000,180.0
Mornington Penin'a,2000,150.0
Port Phillip,2000,220.0
Stonnington,2000,230.0
Victoria,2000,170.0
Metro,2000,185.0
Non-Metro,2000,130.0
Victoria,2000,170.0
Colac-Otway,2000,120.0
Corangamite,2000,100.0
Glenelg,2000,105.0
Greater Geelong,2000,145.0
Moyne,2000,125.0
Queenscliffe,2000,155.0
Southern Grampians,2000,100.0
Surf Coast,2000,165.0
Warrnambool,2000,140.0
Ararat,2000,100.0
Ballarat,2000,140.0
Golden Plains,2000,138.0
Hepburn,2000,135.0
Hindmarsh,2000,100.0
Horsham,2000,125.0
Moorabool,2000,145.0
Northern Grampians,2000,115.0
Pyrenees,2000,130.0
West Wimmera,2000,90.0
Yarriambiack,2000,80.0
Buloke,2000,100.0
Campaspe,2000,135.0
Central Goldfields,2000,115.0
Gannawarra,2000,110.0
Greater Bendigo,2000,140.0
Loddon,2000,95.0
Macedon Ranges,2000,160.0
Mildura,2000,145.0
Mount Alexander,2000,130.0
Swan Hill,2000,140.0
Alpine,2000,130.0
Benalla,2000,130.0
Greater Shepparton,2000,140.0
Indigo,2000,130.0
Mansfield,2000,140.0
Mitchell,2000,135.0
Moira,2000,130.0
Murrindindi,2000,125.0
Strathbogie,2000,105.0
Towong,2000,91.0
Wangaratta,2000,130.0
Wodonga,2000,150.0
Bass Coast,2000,120.0
Baw Baw,2000,130.0
East Gippsland,2000,125.0
Latrobe,2000,110.0
South Gippsland,2000,110.0
Wellington,2000,120.0
Banyule,2000,190.0
Brimbank,2000,165.0
Darebin,2000,170.0
Hobsons Bay,2000,180.0
Hume,2000,175.0
Maribyrnong,2000,160.0
Melbourne,2000,280.0
Melton,2000,160.0
Merri-bek,2000,170.0
Moonee Valley,2000,190.0
Nillumbik,2000,216.0
Whittlesea,2000,180.0
Wyndham,2000,170.0
Yarra,2000,260.0
Boroondara,2000,230.0
Knox,2000,185.0
Manningham,2000,230.0
Maroondah,2000,175.0
Monash,2000,200.0
Whitehorse,2000,195.0
Yarra Ranges,2000,165.0
Bayside,2000,280.0
Cardinia,2000,165.0
Casey,2000,174.0
Frankston,2000,160.0
Glen Eira,2000,190.0
Greater Dandenong,2000,145.0
Kingston,2000,180.0
Mornington Penin'a,2000,160.0
Port Phillip,2000,235.0
Stonnington,2000,230.0
Victoria,2000,175.0
Metro,2000,185.0
Non-Metro,2000,135.0
Victoria,2000,175.0
Colac-Otway,2001,120.0
Corangamite,2001,100.0
Glenelg,2001,105.0
Greater Geelong,2001,147.0
Moyne,2001,130.0
Queenscliffe,2001,170.0
Southern Grampians,2001,105.0
Surf Coast,2001,170.0
Warrnambool,2001,140.0
Ararat,2001,110.0
Ballarat,2001,140.0
Golden Plains,2001,135.0
Hepburn,2001,140.0
Hindmarsh,2001,100.0
Horsham,2001,125.0
Moorabool,2001,145.0
Northern Grampians,2001,117.0
Pyrenees,2001,125.0
West Wimmera,2001,80.0
Yarriambiack,2001,83.0
Buloke,2001,90.0
Campaspe,2001,140.0
Central Goldfields,2001,115.0
Gannawarra,2001,100.0
Greater Bendigo,2001,140.0
Loddon,2001,92.0
Macedon Ranges,2001,150.0
Mildura,2001,150.0
Mount Alexander,2001,140.0
Swan Hill,2001,140.0
Alpine,2001,125.0
Benalla,2001,128.0
Greater Shepparton,2001,145.0
Indigo,2001,130.0
Mansfield,2001,140.0
Mitchell,2001,135.0
Moira,2001,125.0
Murrindindi,2001,120.0
Strathbogie,2001,100.0
Towong,2001,110.0
Wangaratta,2001,130.0
Wodonga,2001,145.0
Bass Coast,2001,130.0
Baw Baw,2001,130.0
East Gippsland,2001,125.0
Latrobe,2001,110.0
South Gippsland,2001,115.0
Wellington,2001,120.0
Banyule,2001,200.0
Brimbank,2001,160.0
Darebin,2001,170.0
Hobsons Bay,2001,180.0
Hume,2001,175.0
Maribyrnong,2001,160.0
Melbourne,2001,290.0
Melton,2001,160.0
Merri-bek,2001,180.0
Moonee Valley,2001,190.0
Nillumbik,2001,220.0
Whittlesea,2001,180.0
Wyndham,2001,170.0
Yarra,2001,260.0
Boroondara,2001,240.0
Knox,2001,190.0
Manningham,2001,235.0
Maroondah,2001,180.0
Monash,2001,210.0
Whitehorse,2001,200.0
Yarra Ranges,2001,170.0
Bayside,2001,290.0
Cardinia,2001,165.0
Casey,2001,175.0
Frankston,2001,160.0
Glen Eira,2001,200.0
Greater Dandenong,2001,145.0
Kingston,2001,180.0
Mornington Penin'a,2001,160.0
Port Phillip,2001,240.0
Stonnington,2001,230.0
Victoria,2001,180.0
Metro,2001,195.0
Non-Metro,2001,135.0
Victoria,2001,180.0
Colac-Otway,2001,130.0
Corangamite,2001,110.0
Glenelg,2001,110.0
Greater Geelong,2001,150.0
Moyne,2001,130.0
Queenscliffe,2001,180.0
Southern Grampians,2001,100.0
Surf Coast,2001,180.0
Warrnambool,2001,145.0
Ararat,2001,108.0
Ballarat,2001,140.0
Golden Plains,2001,140.0
Hepburn,2001,145.0
Hindmarsh,2001,98.0
Horsham,2001,130.0
Moorabool,2001,145.0
Northern Grampians,2001,115.0
Pyrenees,2001,105.0
Yarriambiack,2001,73.0
Buloke,2001,95.0
Campaspe,2001,140.0
Central Goldfields,2001,110.0
Gannawarra,2001,110.0
Greater Bendigo,2001,149.0
Loddon,2001,90.0
Macedon Ranges,2001,160.0
Mildura,2001,145.0
Mount Alexander,2001,135.0
Swan Hill,2001,135.0
Alpine,2001,130.0
Benalla,2001,130.0
Greater Shepparton,2001,150.0
Indigo,2001,139.0
Mansfield,2001,135.0
Mitchell,2001,140.0
Moira,2001,130.0
Murrindindi,2001,130.0
Strathbogie,2001,105.0
Towong,2001,110.0
Wangaratta,2001,135.0
Wodonga,2001,150.0
Bass Coast,2001,125.0
Baw Baw,2001,130.0
East Gippsland,2001,125.0
Latrobe,2001,110.0
South Gippsland,2001,115.0
Wellington,2001,110.0
Banyule,2001,200.0
Brimbank,2001,165.0
Darebin,2001,170.0
Hobsons Bay,2001,180.0
Hume,2001,180.0
Maribyrnong,2001,160.0
Melbourne,2001,300.0
Melton,2001,165.0
Merri-bek,2001,180.0
Moonee Valley,2001,195.0
Nillumbik,2001,220.0
Whittlesea,2001,180.0
Wyndham,2001,170.0
Yarra,2001,260.0
Boroondara,2001,240.0
Knox,2001,190.0
Manningham,2001,230.0
Maroondah,2001,180.0
Monash,2001,210.0
Whitehorse,2001,210.0
Yarra Ranges,2001,170.0
Bayside,2001,275.0
Cardinia,2001,165.0
Casey,2001,175.0
Frankston,2001,160.0
Glen Eira,2001,200.0
Greater Dandenong,2001,145.0
Kingston,2001,180.0
Mornington Penin'a,2001,160.0
Port Phillip,2001,245.0
Stonnington,2001,240.0
Victoria,2001,180.0
Metro,2001,190.0
Non-Metro,2001,135.0
Victoria,2001,180.0
Colac-Otway,2001,130.0
Corangamite,2001,110.0
Glenelg,2001,120.0
Greater Geelong,2001,150.0
Moyne,2001,135.0
Queenscliffe,2001,170.0
Southern Grampians,2001,115.0
Surf Coast,2001,175.0
Warrnambool,2001,145.0
Ararat,2001,110.0
Ballarat,2001,150.0
Golden Plains,2001,145.0
Hepburn,2001,150.0
Hindmarsh,2001,95.0
Horsham,2001,125.0
Moorabool,2001,150.0
Northern Grampians,2001,115.0
Pyrenees,2001,105.0
West Wimmera,2001,88.0
Yarriambiack,2001,90.0
Buloke,2001,78.0
Campaspe,2001,140.0
Central Goldfields,2001,115.0
Gannawarra,2001,120.0
Greater Bendigo,2001,150.0
Loddon,2001,93.0
Macedon Ranges,2001,165.0
Mildura,2001,145.0
Mount Alexander,2001,140.0
Swan Hill,2001,130.0
Alpine,2001,135.0
Benalla,2001,130.0
Greater Shepparton,2001,150.0
Indigo,2001,130.0
Mansfield,2001,135.0
Mitchell,2001,140.0
Moira,2001,125.0
Murrindindi,2001,130.0
Strathbogie,2001,110.0
Towong,2001,116.0
Wangaratta,2001,130.0
Wodonga,2001,150.0
Bass Coast,2001,130.0
Baw Baw,2001,138.0
East Gippsland,2001,130.0
Latrobe,2001,110.0
South Gippsland,2001,115.0
Wellington,2001,120.0
Banyule,2001,200.0
Brimbank,2001,165.0
Darebin,2001,180.0
Hobsons Bay,2001,180.0
Hume,2001,180.0
Maribyrnong,2001,170.0
Melbourne,2001,295.0
Melton,2001,170.0
Merri-bek,2001,180.0
Moonee Valley,2001,200.0
Nillumbik,2001,216.0
Whittlesea,2001,180.0
Wyndham,2001,170.0
Yarra,2001,260.0
Boroondara,2001,240.0
Knox,2001,195.0
Manningham,2001,240.0
Maroondah,2001,180.0
Monash,2001,210.0
Whitehorse,2001,205.0
Yarra Ranges,2001,170.0
Bayside,2001,290.0
Cardinia,2001,165.0
Casey,2001,180.0
Frankston,2001,165.0
Glen Eira,2001,200.0
Greater Dandenong,2001,145.0
Kingston,2001,185.0
Mornington Penin'a,2001,165.0
Port Phillip,2001,240.0
Stonnington,2001,240.0
Victoria,2001,180.0
Metro,2001,195.0
Non-Metro,2001,140.0
Victoria,2001,180.0
Colac-Otway,2001,130.0
Corangamite,2001,110.0
Glenelg,2001,120.0
Greater Geelong,2001,155.0
Moyne,2001,140.0
Queenscliffe,2001,166.0
Southern Grampians,2001,110.0
Surf Coast,2001,170.0
Warrnambool,2001,145.0
Ararat,2001,110.0
Ballarat,2001,150.0
Golden Plains,2001,140.0
Hepburn,2001,145.0
Hindmarsh,2001,110.0
Horsham,2001,125.0
Moorabool,2001,165.0
Northern Grampians,2001,115.0
Pyrenees,2001,105.0
West Wimmera,2001,95.0
Yarriambiack,2001,78.0
Buloke,2001,85.0
Campaspe,2001,140.0
Central Goldfields,2001,120.0
Gannawarra,2001,110.0
Greater Bendigo,2001,150.0
Loddon,2001,100.0
Macedon Ranges,2001,163.0
Mildura,2001,150.0
Mount Alexander,2001,140.0
Swan Hill,2001,140.0
Alpine,2001,130.0
Benalla,2001,135.0
Greater Shepparton,2001,155.0
Indigo,2001,138.0
Mansfield,2001,140.0
Mitchell,2001,145.0
Moira,2001,130.0
Murrindindi,2001,130.0
Strathbogie,2001,120.0
Towong,2001,100.0
Wangaratta,2001,140.0
Wodonga,2001,155.0
Bass Coast,2001,130.0
Baw Baw,2001,145.0
East Gippsland,2001,130.0
Latrobe,2001,110.0
South Gippsland,2001,120.0
Wellington,2001,120.0
Banyule,2001,200.0
Brimbank,2001,170.0
Darebin,2001,180.0
Hobsons Bay,2001,190.0
Hume,2001,185.0
Maribyrnong,2001,175.0
Melbourne,2001,290.0
Melton,2001,170.0
Merri-bek,2001,190.0
Moonee Valley,2001,200.0
Nillumbik,2001,230.0
Whittlesea,2001,185.0
Wyndham,2001,175.0
Yarra,2001,270.0
Boroondara,2001,240.0
Knox,2001,195.0
Manningham,2001,250.0
Maroondah,2001,185.0
Monash,2001,220.0
Whitehorse,2001,215.0
Yarra Ranges,2001,175.0
Bayside,2001,288.0
Cardinia,2001,165.0
Casey,2001,180.0
Frankston,2001,165.0
Glen Eira,2001,205.0
Greater Dandenong,2001,150.0
Kingston,2001,190.0
Mornington Penin'a,2001,170.0
Port Phillip,2001,250.0
Stonnington,2001,240.0
Victoria,2001,180.0
Metro,2001,200.0
Non-Metro,2001,140.0
Victoria,2001,180.0
Colac-Otway,2002,140.0
Corangamite,2002,110.0
Glenelg,2002,120.0
Greater Geelong,2002,160.0
Moyne,2002,150.0
Queenscliffe,2002,170.0
Southern Grampians,2002,110.0
Surf Coast,2002,180.0
Warrnambool,2002,150.0
Ararat,2002,110.0
Ballarat,2002,150.0
Golden Plains,2002,155.0
Hepburn,2002,150.0
Hindmarsh,2002,100.0
Horsham,2002,130.0
Moorabool,2002,153.0
Northern Grampians,2002,110.0
Pyrenees,2002,125.0
West Wimmera,2002,75.0
Yarriambiack,2002,98.0
Buloke,2002,90.0
Campaspe,2002,150.0
Central Goldfields,2002,120.0
Gannawarra,2002,110.0
Greater Bendigo,2002,150.0
Loddon,2002,100.0
Macedon Ranges,2002,170.0
Mildura,2002,150.0
Mount Alexander,2002,145.0
Swan Hill,2002,140.0
Alpine,2002,130.0
Benalla,2002,140.0
Greater Shepparton,2002,155.0
Indigo,2002,135.0
Mansfield,2002,140.0
Mitchell,2002,140.0
Moira,2002,120.0
Murrindindi,2002,130.0
Strathbogie,2002,110.0
Towong,2002,108.0
Wangaratta,2002,130.0
Wodonga,2002,155.0
Bass Coast,2002,140.0
Baw Baw,2002,145.0
East Gippsland,2002,130.0
Latrobe,2002,115.0
South Gippsland,2002,125.0
Wellington,2002,120.0
Banyule,2002,210.0
Brimbank,2002,175.0
Darebin,2002,185.0
Hobsons Bay,2002,190.0
Hume,2002,185.0
Maribyrnong,2002,175.0
Melbourne,2002,300.0
Melton,2002,170.0
Merri-bek,2002,190.0
Moonee Valley,2002,210.0
Nillumbik,2002,231.0
Whittlesea,2002,190.0
Wyndham,2002,175.0
Yarra,2002,270.0
Boroondara,2002,240.0
Knox,2002,200.0
Manningham,2002,250.0
Maroondah,2002,185.0
Monash,2002,220.0
Whitehorse,2002,215.0
Yarra Ranges,2002,175.0
Bayside,2002,295.0
Cardinia,2002,170.0
Casey,2002,180.0
Frankston,2002,165.0
Glen Eira,2002,200.0
Greater Dandenong,2002,150.0
Kingston,2002,195.0
Mornington Penin'a,2002,175.0
Port Phillip,2002,250.0
Stonnington,2002,244.0
Victoria,2002,190.0
Metro,2002,201.0
Non-Metro,2002,140.0
Victoria,2002,190.0
Colac-Otway,2002,145.0
Corangamite,2002,110.0
Glenelg,2002,120.0
Greater Geelong,2002,160.0
Moyne,2002,150.0
Queenscliffe,2002,185.0
Southern Grampians,2002,110.0
Surf Coast,2002,180.0
Warrnambool,2002,155.0
Ararat,2002,120.0
Ballarat,2002,160.0
Golden Plains,2002,140.0
Hepburn,2002,150.0
Hindmarsh,2002,105.0
Horsham,2002,135.0
Moorabool,2002,160.0
Northern Grampians,2002,118.0
Pyrenees,2002,110.0
Yarriambiack,2002,88.0
Buloke,2002,90.0
Campaspe,2002,150.0
Central Goldfields,2002,120.0
Gannawarra,2002,120.0
Greater Bendigo,2002,155.0
Loddon,2002,98.0
Macedon Ranges,2002,170.0
Mildura,2002,155.0
Mount Alexander,2002,140.0
Swan Hill,2002,140.0
Alpine,2002,130.0
Benalla,2002,140.0
Greater Shepparton,2002,160.0
Indigo,2002,135.0
Mansfield,2002,140.0
Mitchell,2002,150.0
Moira,2002,135.0
Murrindindi,2002,130.0
Strathbogie,2002,115.0
Towong,2002,115.0
Wangaratta,2002,135.0
Wodonga,2002,160.0
Bass Coast,2002,140.0
Baw Baw,2002,149.0
East Gippsland,2002,135.0
Latrobe,2002,114.0
South Gippsland,2002,125.0
Wellington,2002,120.0
Banyule,2002,210.0
Brimbank,2002,175.0
Darebin,2002,180.0
